Satimo 1 - SG24-ATL2989S     400-6000 Mhz,,,,,,,,,SG24-ATL2989S,400-10000 Mhz,,,SH600 Horn used to create a new passive calibration file: Measurement time about 2.5 hours.,,,,,,
Yearly Reference Dipole Measurements -  (Limits: +/- .5 dB of the Average of the previous 4 measurements),,,,,,,,,Satimo 1,,,, ,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Dipoles,Reference Data,Date,,, ,,,,,
,,,,,,,,,SD665,NIST,3/12/26,,,,,,,,
,,,,,,,,,Frequency,Efficiency,Efficiency,,,,,,,,
,,,,,,,,,(Mhz),(dB),(dB),,,,,,,,
,,,,,,,,,1850,-0.65,-0.09,,,,,,,,
,,,,,,,,,1855,-0.7,-0.1,,,,,,,,
,,,,,,,,,1860,-0.79,-0.19,,,,,,,,
,,,,,,,,,1865,-0.87,-0.22,,,,,,,,
,,,,,,,,,1870,-0.95,-0.22,,,,,,,,
,,,,,,,,,1875,-0.89,-0.14,,,,,,,,
,,,,,,,,,1880,-0.92,-0.27,,,,,,,,
,,,,,,,,,1885,-0.9,-0.23,,,,,,,,
,,,,,,,,,1890,-0.91,-0.22,,,,,,,,
,,,,,,,,,1895,-0.93,-0.22,,,,,,,,
,,,,,,,,,1900,-0.96,-0.19,,,,,,,,
,,,,,,,,,1905,-0.98,-0.16,,,,,,,,
,,,,,,,,,1910,-0.76,-0.16,,,,,,,,
,,,,,,,,,1915,-0.68,-0.11,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,SD1900,NIST,3/12/26,,,,,,,,
,,,,,,,,,Frequency,Efficiency,Efficiency,,,,,,,,
,,,,,,,,,(Mhz),(dB),(dB),,,,,,,,
,,,,,,,,,1920,-0.55,-0.15,,,,,,,,
,,,,,,,,,1925,-0.58,-0.18,,,,,,,,
,,,,,,,,,1930,-0.58,-0.18,,,,,,,,
,,,,,,,,,1935,-0.72,-0.24,,,,,,,,
,,,,,,,,,1940,-0.74,-0.2,,,,,,,,
,,,,,,,,,1945,-0.65,-0.22,,,,,,,,
,,,,,,,,,1950,-0.72,-0.22,,,,,,,,
,,,,,,,,,1955,-0.71,-0.22,,,,,,,,
,,,,,,,,,1960,-0.69,-0.17,,,,,,,,
,,,,,,,,,1965,-0.68,-0.19,,,,,,,,
,,,,,,,,,1970,-0.66,-0.15,,,,,,,,
,,,,,,,,,1975,-0.55,-0.17,,,,,,,,
,,,,,,,,,1980,-0.56,-0.11,,,,,,,,
,,,,,,,,,1985,-0.53,-0.14,,,,,,,,
,,,,,,,,,1990,-0.47,-0.13,,,,,,,,
,,,,,,,,,1995,-0.55,-0.21,,,,,,,,
,,,,,,,,,2000,-0.4,-0.23,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,SD2140,NIST,3/12/26,,,,,,,,
,,,,,,,,,Frequency,Efficiency,Efficiency,,,,,,,,
,,,,,,,,,(Mhz),(dB),(dB),,,,,,,,
,,,,,,,,,2005,-0.55,-0.34,,,,,,,,
,,,,,,,,,2010,-0.4,-0.34,,,,,,,,
,,,,,,,,,2015,-0.39,-0.39,,,,,,,,
,,,,,,,,,2020,-0.32,-0.39,,,,,,,,
,,,,,,,,,2025,-0.4,-0.43,,,,,,,,
,,,,,,,,,2030,-0.44,-0.42,,,,,,,,
,,,,,,,,,2035,-0.43,-0.39,,,,,,,,
,,,,,,,,,2040,-0.45,-0.33,,,,,,,,
,,,,,,,,,2045,-0.4,-0.29,,,,,,,,
,,,,,,,,,2050,-0.43,-0.26,,,,,,,,
,,,,,,,,,2055,-0.42,-0.19,,,,,,,,
,,,,,,,,,2060,-0.48,-0.23,,,,,,,,
,,,,,,,,,2065,-0.46,-0.2,,,,,,,,
,,,,,,,,,2070,-0.41,-0.12,,,,,,,,
,,,,,,,,,2075,-0.31,-0.1,,,,,,,,
,,,,,,,,,2080,-0.24,-0.18,,,,,,,,
,,,,,,,,,2085,-0.3,-0.13,,,,,,,,
,,,,,,,,,2090,-0.29,-0.15,,,,,,,,
,,,,,,,,,2095,-0.37,-0.12,,,,,,,,
,,,,,,,,,2100,-0.33,-0.21,,,,,,,,
,,,,,,,,,2105,-0.29,-0.19,,,,,,,,
,,,,,,,,,2110,-0.21,-0.22,,,,,,,,
,,,,,,,,,2115,-0.22,-0.18,,,,,,,,
,,,,,,,,,2120,-0.17,-0.29,,,,,,,,
,,,,,,,,,2125,-0.16,-0.27,,,,,,,,
,,,,,,,,,2130,-0.11,-0.3,,,,,,,,
,,,,,,,,,2135,-0.1,-0.26,,,,,,,,
