Satimo 2     SG64-ATL3333S     400-10000 Mhz,,,,,,,,,SG64-ATL3333S,400-10000 Mhz,,,,
Yearly Reference Dipole Measurements,,,,,,,,, ,,,,,
,,,,,,,,,Dipoles,Reference Data,Date,,,
,,,,,,,,,2150,-0.21,-0.29,,,
,,,,,,,,,2155,-0.21,-0.28,,,
,,,,,,,,,2160,-0.23,-0.36,,,
,,,,,,,,,2165,-0.16,-0.39,,,
,,,,,,,,,2170,-0.09,-0.37,,,
,,,,,,,,,2175,-0.05,-0.63,,,
,,,,,,,,,2180,-0.03,-0.36,,,
,,,,,,,,,2185,-0.1,-0.35,,,
,,,,,,,,,2190,-0.13,-0.36,,,
,,,,,,,,,2195,-0.19,-0.24,,,
,,,,,,,,,2200,-0.14,-0.32,,,
,,,,,,,,,2205,-0.19,-0.32,,,
,,,,,,,,,2210,-0.16,-0.33,,,
,,,,,,,,,2215,-0.16,-0.18,,,
,,,,,,,,,2220,-0.17,-0.28,,,
,,,,,,,,,2225,-0.2,-0.34,,,
,,,,,,,,,2230,-0.27,-0.37,,,
,,,,,,,,,2235,-0.29,-0.4,,,
,,,,,,,,,2240,-0.31,-0.37,,,
,,,,,,,,,2245,-0.31,-0.52,,,
,,,,,,,,,2250,-0.36,-0.46,,,
,,,,,,,,,2255,-0.38,-0.35,,,
,,,,,,,,,2260,-0.41,-0.45,,,
,,,,,,,,,2265,-0.47,-0.32,,,
,,,,,,,,,2270,-0.49,-0.51,,,
,,,,,,,,,2275,-0.47,-0.57,,,
,,,,,,,,,2280,-0.41,-0.39,,,
,,,,,,,,,2285,-0.37,-0.33,,,
,,,,,,,,,2290,-0.32,-0.44,,,
,,,,,,,,,2295,-0.36,-0.66,,,
,,,,,,,,,2300,-0.33,-0.48,,,
,,,,,,,,,2305,-0.35,-0.57,,,
,,,,,,,,,2310,-0.3,-0.47,,,
,,,,,,,,,2315,-0.3,-0.53,,,
,,,,,,,,,2320,-0.3,-0.57,,,
,,,,,,,,,2325,-0.34,-0.76,,,
,,,,,,,,,2330,-0.35,-0.61,,,
,,,,,,,,,,,,,, 
,,,,,,,,,SD2450,NIST,03/12/26,,,
,,,,,,,,,Frequency (MHz),Efficiency* (dB),Efficiency,,,
,,,,,,,,,2335,-0.25,-0.51,,,
,,,,,,,,,2340,-0.32,-0.52,,,
,,,,,,,,,2345,-0.34,-0.51,,,
,,,,,,,,,2350,-0.4,-0.57,,,
,,,,,,,,,2355,-0.41,-0.54,,,
,,,,,,,,,2360,-0.47,-0.57,,,
,,,,,,,,,2365,-0.45,-0.39,,,
,,,,,,,,,2370,-0.45,-0.4,,,
,,,,,,,,,2375,-0.44,-0.28,,,
,,,,,,,,,2380,-0.4,-0.42,,,
,,,,,,,,,2385,-0.39,-0.32,,,
,,,,,,,,,2390,-0.36,-0.43,,,
,,,,,,,,,2395,-0.36,-0.58,,,
,,,,,,,,,2400,-0.31,-0.66,,,
,,,,,,,,,2405,-0.34,-0.39,,,
,,,,,,,,,2410,-0.37,-0.57,,,
,,,,,,,,,2415,-0.41,-0.63,,,
,,,,,,,,,2420,-0.4,-0.53,,,
,,,,,,,,,2425,-0.37,-0.45,,,
,,,,,,,,,2430,-0.39,-0.42,,,
,,,,,,,,,2435,-0.37,-0.46,,,
,,,,,,,,,2440,-0.42,-0.49,,,
,,,,,,,,,2445,-0.45,-0.67,,,
,,,,,,,,,2450,-0.53,-0.43,,,
,,,,,,,,,2455,-0.53,-0.35,,,
,,,,,,,,,2460,-0.55,-0.37,,,
,,,,,,,,,2465,-0.53,-0.56,,,
,,,,,,,,,2470,-0.48,-0.42,,,
,,,,,,,,,2475,-0.47,-0.41,,,
,,,,,,,,,2480,-0.42,-0.43,,,
,,,,,,,,,2485,-0.4,-0.41,,,
,,,,,,,,,2490,-0.34,-0.53,,,
,,,,,,,,,2495,-0.35,-0.51,,,
,,,,,,,,,2500,-0.34,-0.39,,,
,,,,,,,,,2505,-0.38,-0.23,,,
,,,,,,,,,2510,-0.4,-0.34,,,
,,,,,,,,,2515,-0.4,-0.37,,,
,,,,,,,,,2520,-0.46,-0.32,,,
,,,,,,,,,2525,-0.45,-0.28,,,
,,,,,,,,,2530,-0.51,-0.34,,,
,,,,,,,,,2535,-0.54,-0.32,,,
,,,,,,,,,2540,-0.61,-0.35,,,
,,,,,,,,,2545,-0.6,-0.31,,,
,,,,,,,,,2550,-0.66,-0.37,,,
,,,,,,,,,2555,-0.69,-0.25,,,
,,,,,,,,,2560,-0.7,-0.33,,,
,,,,,,,,,2565,-0.7,-0.45,,,
,,,,,,,,,2570,-0.7,-0.37,,,
,,,,,,,,,2575,-0.7,-0.3,,,
,,,,,,,,,2580,-0.64,-0.4,,,
,,,,,,,,,2585,-0.59,-0.37,,,
,,,,,,,,,2590,-0.51,-0.44,,,
,,,,,,,,,2595,-0.52,-0.38,,,
,,,,,,,,,2600,-0.55,-0.33,,,
,,,,,,,,,2605,-0.67,-0.33,,,
,,,,,,,,,2610,-0.8,-0.36,,,
,,,,,,,,,2615,-0.79,-0.39,,,
,,,,,,,,,2620,-0.79,-0.37,,,
,,,,,,,,,2625,-0.72,-0.4,,,
,,,,,,,,,2630,-0.75,-0.4,,,
,,,,,,,,,2635,-0.72,-0.4,,,
,,,,,,,,,2640,-0.8,-0.44,,,
,,,,,,,,,2645,-0.79,-0.52,,,
,,,,,,,,,2650,-0.68,-0.53,,,
,,,,,,,,,,,,,, 
,,,,,,,,,SD2600,NIST,03/12/26,,,
,,,,,,,,,Frequency (MHz),Efficiency* (dB),Efficiency,,,
,,,,,,,,,2650,-1.71,-0.45,,,
,,,,,,,,,2655,-0.42,-0.28,,,
,,,,,,,,,2660,-0.34,-0.42,,,
,,,,,,,,,2665,-0.33,-0.45,,,
,,,,,,,,,2670,-0.38,-0.46,,,
,,,,,,,,,2675,-0.33,-0.57,,,
,,,,,,,,,2680,-0.19,-0.42,,,
,,,,,,,,,2685,-0.16,-0.28,,,
,,,,,,,,,2690,-0.09,-0.34,,,
,,,,,,,,,2695,-0.11,-0.38,,,
